symbol,date,open,high,low,close,volume,adjclose,dividends,Symbol
AAPL,2021-01-04,133.52000427246094,133.61000061035156,126.76000213623047,129.41000366210938,143301900,127.33169555664062,0.0,AAPL
AAPL,2021-01-05,128.88999938964844,131.74000549316406,128.42999267578125,131.00999450683594,97664900,128.906005859375,0.0,AAPL
AAPL,2021-01-06,127.72000122070312,131.0500030517578,126.37999725341797,126.5999984741211,155088000,124.56682586669922,0.0,AAPL
AAPL,2021-01-07,128.36000061035156,131.6300048828125,127.86000061035156,130.9199981689453,109578200,128.81744384765625,0.0,AAPL
AAPL,2021-01-08,132.42999267578125,132.6300048828125,130.22999572753906,132.0500030517578,105158200,129.92930603027344,0.0,AAPL
AAPL,2021-01-11,129.19000244140625,130.1699981689453,128.5,128.97999572753906,100384500,126.90859985351562,0.0,AAPL
AAPL,2021-01-12,128.5,129.69000244140625,126.86000061035156,128.8000030517578,91951100,126.73149871826172,0.0,AAPL
AAPL,2021-01-13,128.75999450683594,131.4499969482422,128.49000549316406,130.88999938964844,88636800,128.78793334960938,0.0,AAPL
AAPL,2021-01-14,130.8000030517578,131.0,128.75999450683594,128.91000366210938,90221800,126.83971405029297,0.0,AAPL
AAPL,2021-01-15,128.77999877929688,130.22000122070312,127.0,127.13999938964844,111598500,125.09814453125,0.0,AAPL
AAPL,2021-01-19,127.77999877929688,128.7100067138672,126.94000244140625,127.83000183105469,90757300,125.77706146240234,0.0,AAPL
AAPL,2021-01-20,128.66000366210938,132.49000549316406,128.5500030517578,132.02999877929688,104319500,129.90963745117188,0.0,AAPL
AAPL,2021-01-21,133.8000030517578,139.6699981689453,133.58999633789062,136.8699951171875,120150900,134.671875,0.0,AAPL
AAPL,2021-01-22,136.27999877929688,139.85000610351562,135.02000427246094,139.07000732421875,114459400,136.83656311035156,0.0,AAPL
AAPL,2021-01-25,143.07000732421875,145.08999633789062,136.5399932861328,142.9199981689453,157611700,140.62472534179688,0.0,AAPL
AAPL,2021-01-26,143.60000610351562,144.3000030517578,141.3699951171875,143.16000366210938,98390600,140.8608856201172,0.0,AAPL
AAPL,2021-01-27,143.42999267578125,144.3000030517578,140.41000366210938,142.05999755859375,140843800,139.7785186767578,0.0,AAPL
AAPL,2021-01-28,139.52000427246094,141.99000549316406,136.6999969482422,137.08999633789062,142621100,134.8883514404297,0.0,AAPL
AAPL,2021-01-29,135.8300018310547,136.74000549316406,130.2100067138672,131.9600067138672,177523800,129.84072875976562,0.0,AAPL
AAPL,2021-02-01,133.75,135.3800048828125,130.92999267578125,134.13999938964844,106239800,131.98574829101562,0.0,AAPL
AAPL,2021-02-02,135.72999572753906,136.30999755859375,134.61000061035156,134.99000549316406,83305400,132.82208251953125,0.0,AAPL
AAPL,2021-02-03,135.75999450683594,135.77000427246094,133.61000061035156,133.94000244140625,89880900,131.7889862060547,0.0,AAPL
AAPL,2021-02-04,136.3000030517578,137.39999389648438,134.58999633789062,137.38999938964844,84183100,135.1835174560547,0.0,AAPL
AAPL,2021-02-05,137.35000610351562,137.4199981689453,135.86000061035156,136.75999450683594,75693800,134.7647247314453,0.205,AAPL
AAPL,2021-02-08,136.02999877929688,136.9600067138672,134.9199981689453,136.91000366210938,71297200,134.91253662109375,0.0,AAPL
AAPL,2021-02-09,136.6199951171875,137.8800048828125,135.85000610351562,136.00999450683594,76774200,134.02565002441406,0.0,AAPL
AAPL,2021-02-10,136.47999572753906,136.99000549316406,134.39999389648438,135.38999938964844,73046600,133.4147186279297,0.0,AAPL
AAPL,2021-02-11,135.89999389648438,136.38999938964844,133.77000427246094,135.1300048828125,64280000,133.15850830078125,0.0,AAPL
AAPL,2021-02-12,134.35000610351562,135.52999877929688,133.69000244140625,135.3699951171875,60145100,133.39500427246094,0.0,AAPL
AAPL,2021-02-16,135.49000549316406,136.00999450683594,132.7899932861328,133.19000244140625,80576300,131.24681091308594,0.0,AAPL
AAPL,2021-02-17,131.25,132.22000122070312,129.47000122070312,130.83999633789062,97918500,128.93109130859375,0.0,AAPL
AAPL,2021-02-18,129.1999969482422,130.0,127.41000366210938,129.7100067138672,96856700,127.81761932373047,0.0,AAPL
AAPL,2021-02-19,130.24000549316406,130.7100067138672,128.8000030517578,129.8699951171875,87668800,127.97525024414062,0.0,AAPL
AAPL,2021-02-22,128.00999450683594,129.72000122070312,125.5999984741211,126.0,103916400,124.16171264648438,0.0,AAPL
AAPL,2021-02-23,123.76000213623047,126.70999908447266,118.38999938964844,125.86000061035156,158273000,124.02375793457031,0.0,AAPL
AAPL,2021-02-24,124.94000244140625,125.55999755859375,122.2300033569336,125.3499984741211,111039900,123.52119445800781,0.0,AAPL
AAPL,2021-02-25,124.68000030517578,126.45999908447266,120.54000091552734,120.98999786376953,148199500,119.22480010986328,0.0,AAPL
AAPL,2021-02-26,122.58999633789062,124.8499984741211,121.19999694824219,121.26000213623047,164560400,119.49085998535156,0.0,AAPL
AAPL,2021-03-01,123.75,127.93000030517578,122.79000091552734,127.79000091552734,116307900,125.92559814453125,0.0,AAPL
AAPL,2021-03-02,128.41000366210938,128.72000122070312,125.01000213623047,125.12000274658203,102260900,123.2945556640625,0.0,AAPL
AAPL,2021-03-03,124.80999755859375,125.70999908447266,121.83999633789062,122.05999755859375,112966300,120.27919006347656,0.0,AAPL
AAPL,2021-03-04,121.75,123.5999984741211,118.62000274658203,120.12999725341797,178155000,118.37734985351562,0.0,AAPL
AAPL,2021-03-05,120.9800033569336,121.94000244140625,117.56999969482422,121.41999816894531,153766600,119.64852905273438,0.0,AAPL
AAPL,2021-03-08,120.93000030517578,121.0,116.20999908447266,116.36000061035156,154376600,114.662353515625,0.0,AAPL
AAPL,2021-03-09,119.02999877929688,122.05999755859375,118.79000091552734,121.08999633789062,129525800,119.32334899902344,0.0,AAPL
AAPL,2021-03-10,121.69000244140625,122.16999816894531,119.44999694824219,119.9800033569336,111943300,118.22955322265625,0.0,AAPL
AAPL,2021-03-11,122.54000091552734,123.20999908447266,121.26000213623047,121.95999908447266,103026500,120.18065643310547,0.0,AAPL
AAPL,2021-03-12,120.4000015258789,121.16999816894531,119.16000366210938,121.02999877929688,88105100,119.26423645019531,0.0,AAPL
AAPL,2021-03-15,121.41000366210938,124.0,120.41999816894531,123.98999786376953,92403800,122.1810302734375,0.0,AAPL
AAPL,2021-03-16,125.69999694824219,127.22000122070312,124.72000122070312,125.56999969482422,115227900,123.73798370361328,0.0,AAPL
